Date;Filière;Valeur (GW)
01/01/2020;Disponibilité du parc nucléaire;50,68766
02/01/2020;Disponibilité du parc nucléaire;51,23886
03/01/2020;Disponibilité du parc nucléaire;51,41635
04/01/2020;Disponibilité du parc nucléaire;49,85654
05/01/2020;Disponibilité du parc nucléaire;51,37439
06/01/2020;Disponibilité du parc nucléaire;52,92502
07/01/2020;Disponibilité du parc nucléaire;52,82825
08/01/2020;Disponibilité du parc nucléaire;52,88973
09/01/2020;Disponibilité du parc nucléaire;47,62747
10/01/2020;Disponibilité du parc nucléaire;50,55459
11/01/2020;Disponibilité du parc nucléaire;53,95225
12/01/2020;Disponibilité du parc nucléaire;54,59648
13/01/2020;Disponibilité du parc nucléaire;54,7387
14/01/2020;Disponibilité du parc nucléaire;51,30789
15/01/2020;Disponibilité du parc nucléaire;51,62199
16/01/2020;Disponibilité du parc nucléaire;51,32516
17/01/2020;Disponibilité du parc nucléaire;51,29815
18/01/2020;Disponibilité du parc nucléaire;49,45593
19/01/2020;Disponibilité du parc nucléaire;50,7375
20/01/2020;Disponibilité du parc nucléaire;50,86898
21/01/2020;Disponibilité du parc nucléaire;52,28528
22/01/2020;Disponibilité du parc nucléaire;53,08659
23/01/2020;Disponibilité du parc nucléaire;52,33882
24/01/2020;Disponibilité du parc nucléaire;51,81601
25/01/2020;Disponibilité du parc nucléaire;50,52506
26/01/2020;Disponibilité du parc nucléaire;49,62914
27/01/2020;Disponibilité du parc nucléaire;49,68735
28/01/2020;Disponibilité du parc nucléaire;51,27424
29/01/2020;Disponibilité du parc nucléaire;48,71878
30/01/2020;Disponibilité du parc nucléaire;51,12053
31/01/2020;Disponibilité du parc nucléaire;51,12584
01/02/2020;Disponibilité du parc nucléaire;51,26568
02/02/2020;Disponibilité du parc nucléaire;51,33776
03/02/2020;Disponibilité du parc nucléaire;53,39857
04/02/2020;Disponibilité du parc nucléaire;53,22417
05/02/2020;Disponibilité du parc nucléaire;54,13401
06/02/2020;Disponibilité du parc nucléaire;51,79937
07/02/2020;Disponibilité du parc nucléaire;52,98312
08/02/2020;Disponibilité du parc nucléaire;53,78557
09/02/2020;Disponibilité du parc nucléaire;51,67283
10/02/2020;Disponibilité du parc nucléaire;51,34443
11/02/2020;Disponibilité du parc nucléaire;51,231
12/02/2020;Disponibilité du parc nucléaire;51,52866
13/02/2020;Disponibilité du parc nucléaire;50,26212
14/02/2020;Disponibilité du parc nucléaire;51,04021
15/02/2020;Disponibilité du parc nucléaire;49,81473
16/02/2020;Disponibilité du parc nucléaire;49,98356
17/02/2020;Disponibilité du parc nucléaire;50,62762
18/02/2020;Disponibilité du parc nucléaire;51,59265
19/02/2020;Disponibilité du parc nucléaire;50,73952
20/02/2020;Disponibilité du parc nucléaire;46,39023
21/02/2020;Disponibilité du parc nucléaire;49,25332
22/02/2020;Disponibilité du parc nucléaire;46,55718
23/02/2020;Disponibilité du parc nucléaire;48,14564
24/02/2020;Disponibilité du parc nucléaire;48,7575
25/02/2020;Disponibilité du parc nucléaire;48,63274
26/02/2020;Disponibilité du parc nucléaire;48,30153
27/02/2020;Disponibilité du parc nucléaire;46,41312
28/02/2020;Disponibilité du parc nucléaire;47,93791
29/02/2020;Disponibilité du parc nucléaire;48,18875
01/03/2020;Disponibilité du parc nucléaire;48,04436
02/03/2020;Disponibilité du parc nucléaire;48,3608
03/03/2020;Disponibilité du parc nucléaire;47,94647
04/03/2020;Disponibilité du parc nucléaire;47,78102
05/03/2020;Disponibilité du parc nucléaire;46,38333
06/03/2020;Disponibilité du parc nucléaire;47,00601
07/03/2020;Disponibilité du parc nucléaire;45,9411
08/03/2020;Disponibilité du parc nucléaire;45,89631
09/03/2020;Disponibilité du parc nucléaire;45,98858
10/03/2020;Disponibilité du parc nucléaire;45,79945
11/03/2020;Disponibilité du parc nucléaire;45,49363
12/03/2020;Disponibilité du parc nucléaire;43,4237
13/03/2020;Disponibilité du parc nucléaire;43,53645
14/03/2020;Disponibilité du parc nucléaire;42,99983
15/03/2020;Disponibilité du parc nucléaire;43,37006
16/03/2020;Disponibilité du parc nucléaire;43,571
17/03/2020;Disponibilité du parc nucléaire;43,54728
18/03/2020;Disponibilité du parc nucléaire;42,63277
19/03/2020;Disponibilité du parc nucléaire;42,231
20/03/2020;Disponibilité du parc nucléaire;41,55671
21/03/2020;Disponibilité du parc nucléaire;41,93378
22/03/2020;Disponibilité du parc nucléaire;40,2602
23/03/2020;Disponibilité du parc nucléaire;42,07106
24/03/2020;Disponibilité du parc nucléaire;41,93125
25/03/2020;Disponibilité du parc nucléaire;42,07919
26/03/2020;Disponibilité du parc nucléaire;41,54619
27/03/2020;Disponibilité du parc nucléaire;40,67535
28/03/2020;Disponibilité du parc nucléaire;40,56812
29/03/2020;Disponibilité du parc nucléaire;38,41554
30/03/2020;Disponibilité du parc nucléaire;40,31907
31/03/2020;Disponibilité du parc nucléaire;40,735
01/04/2020;Disponibilité du parc nucléaire;42,79879
02/04/2020;Disponibilité du parc nucléaire;44,38786
03/04/2020;Disponibilité du parc nucléaire;42,95731
04/04/2020;Disponibilité du parc nucléaire;42,85553
05/04/2020;Disponibilité du parc nucléaire;39,45468
06/04/2020;Disponibilité du parc nucléaire;42,25657
07/04/2020;Disponibilité du parc nucléaire;45,13979
08/04/2020;Disponibilité du parc nucléaire;44,63284
09/04/2020;Disponibilité du parc nucléaire;42,44093
10/04/2020;Disponibilité du parc nucléaire;42,0385
11/04/2020;Disponibilité du parc nucléaire;40,23613
12/04/2020;Disponibilité du parc nucléaire;39,0935
13/04/2020;Disponibilité du parc nucléaire;35,83428
14/04/2020;Disponibilité du parc nucléaire;40,38247
15/04/2020;Disponibilité du parc nucléaire;42,59569
16/04/2020;Disponibilité du parc nucléaire;42,13412
17/04/2020;Disponibilité du parc nucléaire;41,91692
18/04/2020;Disponibilité du parc nucléaire;40,45424
19/04/2020;Disponibilité du parc nucléaire;38,92838
20/04/2020;Disponibilité du parc nucléaire;39,20052
21/04/2020;Disponibilité du parc nucléaire;40,69534
22/04/2020;Disponibilité du parc nucléaire;40,4924
23/04/2020;Disponibilité du parc nucléaire;40,87083
24/04/2020;Disponibilité du parc nucléaire;40,4101
25/04/2020;Disponibilité du parc nucléaire;38,98812
26/04/2020;Disponibilité du parc nucléaire;38,37947
27/04/2020;Disponibilité du parc nucléaire;38,2835
28/04/2020;Disponibilité du parc nucléaire;38,11216
29/04/2020;Disponibilité du parc nucléaire;38,24011
30/04/2020;Disponibilité du parc nucléaire;38,40313
01/05/2020;Disponibilité du parc nucléaire;36,71962
02/05/2020;Disponibilité du parc nucléaire;37,00901
03/05/2020;Disponibilité du parc nucléaire;37,61429
04/05/2020;Disponibilité du parc nucléaire;38,37771
05/05/2020;Disponibilité du parc nucléaire;37,8275
06/05/2020;Disponibilité du parc nucléaire;36,56976
07/05/2020;Disponibilité du parc nucléaire;36,43772
08/05/2020;Disponibilité du parc nucléaire;38,24667
09/05/2020;Disponibilité du parc nucléaire;36,514
10/05/2020;Disponibilité du parc nucléaire;37,19287
11/05/2020;Disponibilité du parc nucléaire;37,14092
12/05/2020;Disponibilité du parc nucléaire;37,49858
13/05/2020;Disponibilité du parc nucléaire;38,07563
14/05/2020;Disponibilité du parc nucléaire;39,23299
15/05/2020;Disponibilité du parc nucléaire;37,51187
16/05/2020;Disponibilité du parc nucléaire;34,02468
17/05/2020;Disponibilité du parc nucléaire;33,9753
18/05/2020;Disponibilité du parc nucléaire;37,69307
19/05/2020;Disponibilité du parc nucléaire;38,47521
20/05/2020;Disponibilité du parc nucléaire;38,18099
21/05/2020;Disponibilité du parc nucléaire;36,041
22/05/2020;Disponibilité du parc nucléaire;36,07032
23/05/2020;Disponibilité du parc nucléaire;33,87967
24/05/2020;Disponibilité du parc nucléaire;31,60464
25/05/2020;Disponibilité du parc nucléaire;36,15445
26/05/2020;Disponibilité du parc nucléaire;36,51892
27/05/2020;Disponibilité du parc nucléaire;36,4045
28/05/2020;Disponibilité du parc nucléaire;36,52067
29/05/2020;Disponibilité du parc nucléaire;36,78167
30/05/2020;Disponibilité du parc nucléaire;35,41729
31/05/2020;Disponibilité du parc nucléaire;34,38144
01/06/2020;Disponibilité du parc nucléaire;36,24549
02/06/2020;Disponibilité du parc nucléaire;36,6749
03/06/2020;Disponibilité du parc nucléaire;36,3
04/06/2020;Disponibilité du parc nucléaire;36,73172
05/06/2020;Disponibilité du parc nucléaire;36,78519
06/06/2020;Disponibilité du parc nucléaire;33,21735
07/06/2020;Disponibilité du parc nucléaire;32,84854
08/06/2020;Disponibilité du parc nucléaire;33,36767
09/06/2020;Disponibilité du parc nucléaire;33,4
10/06/2020;Disponibilité du parc nucléaire;33,4
11/06/2020;Disponibilité du parc nucléaire;32,61924
12/06/2020;Disponibilité du parc nucléaire;32,67751
13/06/2020;Disponibilité du parc nucléaire;31,08576
14/06/2020;Disponibilité du parc nucléaire;31,0177
15/06/2020;Disponibilité du parc nucléaire;31,39194
16/06/2020;Disponibilité du parc nucléaire;29,90395
17/06/2020;Disponibilité du parc nucléaire;31,08542
18/06/2020;Disponibilité du parc nucléaire;31,725
19/06/2020;Disponibilité du parc nucléaire;31,96635
20/06/2020;Disponibilité du parc nucléaire;32,00625
21/06/2020;Disponibilité du parc nucléaire;31,99248
22/06/2020;Disponibilité du parc nucléaire;31,23056
23/06/2020;Disponibilité du parc nucléaire;29,52695
24/06/2020;Disponibilité du parc nucléaire;29,24039
25/06/2020;Disponibilité du parc nucléaire;30,39033
26/06/2020;Disponibilité du parc nucléaire;30,24367
27/06/2020;Disponibilité du parc nucléaire;30,9467
28/06/2020;Disponibilité du parc nucléaire;29,42502
29/06/2020;Disponibilité du parc nucléaire;27,78233
30/06/2020;Disponibilité du parc nucléaire;27,77314
01/07/2020;Disponibilité du parc nucléaire;28,64248
02/07/2020;Disponibilité du parc nucléaire;28,9562
03/07/2020;Disponibilité du parc nucléaire;30,29333
04/07/2020;Disponibilité du parc nucléaire;29,12085
05/07/2020;Disponibilité du parc nucléaire;25,34102
06/07/2020;Disponibilité du parc nucléaire;29,98751
07/07/2020;Disponibilité du parc nucléaire;30,84333
08/07/2020;Disponibilité du parc nucléaire;31,16289
09/07/2020;Disponibilité du parc nucléaire;31,12778
10/07/2020;Disponibilité du parc nucléaire;31,19146
11/07/2020;Disponibilité du parc nucléaire;30,72865
12/07/2020;Disponibilité du parc nucléaire;30,41437
13/07/2020;Disponibilité du parc nucléaire;31,89333
14/07/2020;Disponibilité du parc nucléaire;32,63726
15/07/2020;Disponibilité du parc nucléaire;33,815
16/07/2020;Disponibilité du parc nucléaire;34,07438
17/07/2020;Disponibilité du parc nucléaire;34,72
18/07/2020;Disponibilité du parc nucléaire;34,57375
19/07/2020;Disponibilité du parc nucléaire;34,44103
20/07/2020;Disponibilité du parc nucléaire;34,6483
21/07/2020;Disponibilité du parc nucléaire;34,67612
22/07/2020;Disponibilité du parc nucléaire;34,7661
23/07/2020;Disponibilité du parc nucléaire;34,50145
24/07/2020;Disponibilité du parc nucléaire;35,33208
25/07/2020;Disponibilité du parc nucléaire;33,36712
26/07/2020;Disponibilité du parc nucléaire;31,78128
27/07/2020;Disponibilité du parc nucléaire;32,52664
28/07/2020;Disponibilité du parc nucléaire;33,23843
29/07/2020;Disponibilité du parc nucléaire;34,06792
30/07/2020;Disponibilité du parc nucléaire;33,78784
31/07/2020;Disponibilité du parc nucléaire;33,4619
01/08/2020;Disponibilité du parc nucléaire;32,11438
02/08/2020;Disponibilité du parc nucléaire;32,87329
03/08/2020;Disponibilité du parc nucléaire;33,17125
04/08/2020;Disponibilité du parc nucléaire;33,10136
05/08/2020;Disponibilité du parc nucléaire;33,10167
06/08/2020;Disponibilité du parc nucléaire;32,99406
07/08/2020;Disponibilité du parc nucléaire;33,40207
08/08/2020;Disponibilité du parc nucléaire;33,31958
09/08/2020;Disponibilité du parc nucléaire;33,98519
10/08/2020;Disponibilité du parc nucléaire;34,03329
11/08/2020;Disponibilité du parc nucléaire;34,87379
12/08/2020;Disponibilité du parc nucléaire;35,00685
13/08/2020;Disponibilité du parc nucléaire;35,21563
14/08/2020;Disponibilité du parc nucléaire;35,12595
15/08/2020;Disponibilité du parc nucléaire;31,90131
16/08/2020;Disponibilité du parc nucléaire;32,47084
17/08/2020;Disponibilité du parc nucléaire;33,01636
18/08/2020;Disponibilité du parc nucléaire;33,56792
