Date;Filière;Valeur (TWh);Nature
1995-01;Production nucléaire;36,909;Données Consolidées
1995-02;Production nucléaire;30,157;Données Consolidées
1995-03;Production nucléaire;32,737;Données Consolidées
1995-04;Production nucléaire;29,125;Données Consolidées
1995-05;Production nucléaire;26,749;Données Consolidées
1995-06;Production nucléaire;25,495;Données Consolidées
1995-07;Production nucléaire;26,685;Données Consolidées
1995-08;Production nucléaire;27,486;Données Consolidées
1995-09;Production nucléaire;26,508;Données Consolidées
1995-10;Production nucléaire;29,582;Données Consolidées
1995-11;Production nucléaire;32,815;Données Consolidées
1995-12;Production nucléaire;34,531;Données Consolidées
1996-01;Production nucléaire;36,782;Données Consolidées
1996-02;Production nucléaire;34,024;Données Consolidées
1996-03;Production nucléaire;34,341;Données Consolidées
1996-04;Production nucléaire;31,693;Données Consolidées
1996-05;Production nucléaire;28,81;Données Consolidées
1996-06;Production nucléaire;26,22;Données Consolidées
1996-07;Production nucléaire;28,556;Données Consolidées
1996-08;Production nucléaire;28,291;Données Consolidées
1996-09;Production nucléaire;29,29;Données Consolidées
1996-10;Production nucléaire;32,395;Données Consolidées
1996-11;Production nucléaire;33,218;Données Consolidées
1996-12;Production nucléaire;34,605;Données Consolidées
1997-01;Production nucléaire;35,313;Données Consolidées
1997-02;Production nucléaire;31,136;Données Consolidées
1997-03;Production nucléaire;32,66;Données Consolidées
1997-04;Production nucléaire;33,205;Données Consolidées
1997-05;Production nucléaire;29,722;Données Consolidées
1997-06;Production nucléaire;27,728;Données Consolidées
1997-07;Production nucléaire;28,69;Données Consolidées
1997-08;Production nucléaire;27,994;Données Consolidées
1997-09;Production nucléaire;28,908;Données Consolidées
1997-10;Production nucléaire;32,644;Données Consolidées
1997-11;Production nucléaire;33,259;Données Consolidées
1997-12;Production nucléaire;34,676;Données Consolidées
1998-01;Production nucléaire;36,954;Données Consolidées
1998-02;Production nucléaire;33,565;Données Consolidées
1998-03;Production nucléaire;34,315;Données Consolidées
1998-04;Production nucléaire;29,984;Données Consolidées
1998-05;Production nucléaire;28,369;Données Consolidées
1998-06;Production nucléaire;27,214;Données Consolidées
1998-07;Production nucléaire;27,803;Données Consolidées
1998-08;Production nucléaire;24,47;Données Consolidées
1998-09;Production nucléaire;27,45;Données Consolidées
1998-10;Production nucléaire;31,551;Données Consolidées
1998-11;Production nucléaire;32,598;Données Consolidées
1998-12;Production nucléaire;34,227;Données Consolidées
